# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
中间中华乳齿象	zhongjianzhonghuaruchixiang
中间亚口鱼	zhongjianyakouyu
中间光尾鲨	zhongjianguangweisha
中间卢氏鳉	zhongjianlushijiang
中间始莱得利基虫	zhongjianshilaidelijichong
中间小矛戎	zhongjianxiaomaorong
中间巨牙天竺鲷	zhongjianjuyatianzhudiao
中间弧线鳚	zhongjianhuxianwei
中间指环虫	zhongjianzhihuanchong
中间栉咽丽鱼	zhongjianzhiyanliyu
中间棘花鮨	zhongjianjihuayi
中间毛鲶	zhongjianmaonian
中间海参	zhongjianhaishen
中间狗母鱼	zhongjiangoumuyu
中间瘤体星虫	zhongjianliutixingchong
中间盲鰕虎鱼	zhongjianmangxiahuyu
中间直线脂鲤	zhongjianzhixianzhili
中间真海精戎	zhongjianzhenhaijingrong
中间等鳍叉尾带鱼	zhongjiandengqichaweidaiyu
中间纹唇鱼	zhongjianwenchunyu
中间耶尔海螺	zhongjianyeerhailuo
中间腔吻鳕	zhongjianqiangwenxue
中间腹肢鲆	zhongjianfuzhiping
中间舌鰕虎鱼	zhongjianshexiahuyu
中间茎方头鱼	zhongjianjingfangtouyu
中间薄丽鲷	zhongjianbaolidiao
中间裸棘杜父鱼	zhongjianluojidufuyu
中间褶鮡	zhongjianzhezhao
中间角鮃	zhongjianjiaoping
中间角鲆	zhongjianjiaoping
中间连膜鰕虎鱼	zhongjianlianmoxiahuyu
中间野鲮	zhongjianyeling
中间银鮈	zhongjianyinju
中间锯花鮰	zhongjianjuhuahui
中间颌须鮈	zhongjianhexuju
中间鳅鮀	zhongjianqiutuo
中隔额角蛛	zhonggeejiaozhu
中非丛鵙	zhongfeicongju
中非湖鲱	zhongfeihufei
中非陆龟	zhongfeilugui
中非鸺鹠	zhongfeixiuliu
中黄粗角跳甲	zhonghuangcujiaotiaojia
中黑叶蜂	zhongheiyefeng
中黑后丽盲蝽	zhongheihoulimangchun
中黑小瓢虫	zhongheixiaopiaochong
中黑灰夜蛾	zhongheihuiyee
中黑盲蝽	zhongheimangchun
中黑苜蓿盲蝽	zhongheimuxumangchun
中鼻雷兽属	zhongbileishoushu
中齿小鲷	zhongchixiaodiao
丰城灰鹅	fengchenghuie
