# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
太空資料中心	taikongziliaozhongxin
批判性思维	pipanxingsiwei
标签联合	biaoqianlianhe
大小写敏感性	daxiaoxieminganxing
自由网	ziyouwang
面向进程编程	mianxiangjinchengbiancheng
阿克曼函數	akemanhanshu
曼波	manbo
博弈语义	boyiyuyi
功能	gongneng
零日攻击	lingrigongji
監視器	jianshiqi
计算机逻辑	jisuanjiluoji
亮度标准偏差	liangdubiaozhunpiancha
批次檔	picidang
算法工程	suanfagongcheng
计算听力学	jisuantinglixue
物体识别	wutishibie
树莓派基金会	shumeipaijijinhui
移植	yizhi
计算机围棋	jisuanjiweiqi
转移熵	zhuanyishang
粒子群优化	liziqunyouhua
螢幕閱讀器	yingmuyueduqi
阈值定理	yuzhidingli
死灵机器人学	silingjiqirenxue
重造轮子	zhongzaolunzi
幂集构造	mijigouzao
认知科学	renzhikexue
防毒軟體列表	fangduruantiliebiao
連詞字符	liancizifu
對齊研究中心	duiqiyanjiuzhongxin
二元决策图	eryuanjuecetu
组合数学	zuheshuxue
片段	pianduan
磁盘控制器	cipankongzhiqi
纹理压缩	wenliyasuo
研勤科技	yanqinkeji
联合熵	lianheshang
代理模型	dailimoxing
樂客導航王	lekedaohangwang
單向函數	danxianghanshu
根本原因分析	genbenyuanyinfenxi
同伦类型论	tonglunleixinglun
軟體可移植性	ruantikeyizhixing
蜜罐	miguan
电子控制器	dianzikongzhiqi
賽博格	saiboge
优先转置	youxianzhuanzhi
及早求值	jizaoqiuzhi
大泥球	daniqiu
懲罰函數法	chengfahanshufa
前向錯誤更正	qianxiangcuowugengzheng
渲染方程	xuanranfangcheng
可穿戴技术	kechuandaijishu
枚举	meiju
嵌入	qianru
郑海涛	zhenghaitao
非人類	feirenlei
可变长度编码	kebianzhangdubianma
物理访问	wulifangwen
矩量法	juliangfa
方法链式调用	fangfalianshidiaoyong
代码审查	daimashencha
多项式码	duoxiangshima
不透明指针	butoumingzhizhen
软件组件	ruanjianzujian
子程序	zichengxu
