# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
丙酸双氢睾酮	bingsuanshuangqinggaotong
耳疔	erding
柯尔纳规律	keernaguilv
多發傷	duofashang
心律不整	xinlvbuzheng
准直仪	zhunzhiyi
多奈单抗	duonaidankang
牵开器	qiankaiqi
幻肢	huanzhi
托法娜仙液	tuofanaxianye
静脉造影	jingmaizaoying
医养结合	yiyangjiehe
硫替比妥	liutibituo
亚硝胺	yaxiaoan
黃慶榮	huangqingrong
養生	yangsheng
疼痛治療不足	tengtongzhiliaobuzu
海底輪	haidilun
前列腺癌	qianliexianai
脑膜炎	naomoyan
传播途径	chuanbotujing
四善端	sishanduan
快速診斷測試	kuaisuzhenduanceshi
子宫肉瘤	zigongrouliu
英國醫生研究	yingguoyishengyanjiu
过敏原	guominyuan
自限性	zixianxing
斷層掃描	duancengsaomiao
黃道帶人	huangdaodairen
柯萊	kelai
林陈美仪	linchenmeiyi
马新亮	maxinliang
间甲酚紫	jianjiafenzi
正分子醫學	zhengfenziyixue
锌中毒	xinzhongdu
人類白化症	renleibaihuazheng
心電靜止	xindianjingzhi
高晓声	gaoxiaosheng
妥拉唑啉	tuolazuolin
时间疗法	shijianliaofa
泼尼松	ponisong
韋倫斯症候群	weilunsizhenghouqun
天津官医院	tianjinguanyiyuan
迪特勒染色	diteleiranse
英国药典	yingguoyaodian
蛋白质构象病	danbaizhigouxiangbing
酒精與癌症	jiujingyuaizheng
剖宫产	pougongchan
亞當前彎測試	yadangqianwanceshi
三氧化二砷	sanyanghuaershen
培哚普利	peiduopuli
紅色神經元	hongseshenjingyuan
亞臨床感染	yalinchuangganran
顱底骨折	ludiguzhe
米氏線	mishixian
吹噓	chuixu
分子亚型	fenziyaxing
乙酰甲胺磷	yixianjiaanlin
复合手术室	fuheshoushushi
大腸癌	dachangai
層狀魚鱗癬	cengzhuangyulinxuan
腎炎	shenyan
右旋糖酐	youxuantanggan
生物性损伤	shengwuxingsunshang
腰圍身高比	yaoweishengaobi
睾丸疼痛	gaowantengtong
诊断	zhenduan
首先不要伤害	shouxianbuyaoshanghai
反应时	fanyingshi
氢可酮	qingketong
牙齒矯正器	yachijiaozhengqi
羊水栓塞	yangshuishuansai
潮熱	chaore
碘他拉酸	diantalasuan
放射合成	fangshehecheng
大量傷患事件	daliangshanghuanshijian
護理教育	hulijiaoyu
蛛網膜	zhuwangmo
急救包	jijiubao
風溼熱	fengshire
透明口罩	toumingkouzhao
營養免疫學	yingyangmianyixue
指壓	zhiya
诺如病毒	nuorubingdu
中医儿科学	zhongyierkexue
人體溫度	rentiwendu
健康教育	jiankangjiaoyu
風濕病學	fengshibingxue
舒林酸	shulinsuan
量化生活	lianghuashenghuo
活性炭	huoxingtan
流调员	liudiaoyuan
毀容	huirong
定志丸	dingzhiwan
纸牌屋	zhipaiwu
急診醫學	jizhenyixue
生命之星	shengmingzhixing
骨移植	guyizhi
梨狀肌症候群	lizhuangjizhenghouqun
新儒家	xinrujia
跨物種感染	kuawuzhongganran
死亡	siwang
缓和镇静	huanhezhenjing
公立医院	gongliyiyuan
激情	jiqing
真的有天堂	zhendeyoutiantang
抑制	yizhi
动物安乐死	dongwuanlesi
食藥同源	shiyaotongyuan
污染物	wuranwu
赵忠祥	zhaozhongxiang
谱尼测试	puniceshi
放射性落下灰	fangshexingluoxiahui
灵魂	linghun
血容量減少	xuerongliangjianshao
軟組織疾病	ruanzuzhijibing
強迫性嫉妒	qiangpoxingjidu
毒液	duye
懼高症	jugaozheng
非那西丁	feinaxiding
航空醫學	hangkongyixue
癸酸睾酮	guisuangaotong
范婉雯	fanwanwen
蜕膜	tuimo
施明德	shimingde
羟布宗	qiangbuzong
彭子益	pengziyi
饮片	yinpian
滑车神经	huacheshenjing
侯勝茂	houshengmao
皮脂腺囊肿	pizhixiannangzhong
海與毒藥	haiyuduyao
與狼共枕	yulanggongzhen
乙型肝炎	yixingganyan
茶樹油	chashuyou
子宮切除術	zigongqiechushu
廢除中醫運動	feichuzhongyiyundong
喻田	yutian
手术室	shoushushi
病毒社会史	bingdushehuishi
计算解剖学	jisuanjiepouxue
脈壓	maiya
自體輸血	zitishuxue
中医诊断学	zhongyizhenduanxue
中子衍射技术	zhongziyanshejishu
護理學系	hulixuexi
肋骨钩状突	legugouzhuangtu
磷酸乙醇胺	linsuanyichunan
身心性疾病	shenxinxingjibing
茶黄素	chahuangsu
肝胰脏	ganyizang
重离子放疗	zhonglizifangliao
肺水腫	feishuizhong
临终关怀	linzhongguanhuai
祁却才仁	qiquecairen
羊腸線	yangchangxian
引誘	yinyou
梅奥诊所学报	meiaozhensuoxuebao
范乐成	fanlecheng
零报告	lingbaogao
有毒类	youdulei
氟化二氨銀	fuhuaeranyin
缺血	quexue
專注力	zhuanzhuli
六經辨證	liujingbianzheng
