# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
數學之美	shuxuezhimei
信念修正	xinnianxiuzheng
蔡璧名	caibiming
社会排斥	shehuipaichi
模式	moshi
逍遙學派	xiaoyaoxuepai
目的論	mudelun
暴力美学	baolimeixue
全知者悖论	quanzhizhebeilun
反例	fanli
多元論	duoyuanlun
壓迫	yapo
香港前途問題	xianggangqiantuwenti
世界邏輯日	shijieluojiri
杰作	jiezuo
佩托悖论	peituobeilun
维也纳学派	weiyenaxuepai
新实在主义	xinshizaizhuyi
功能语言学	gongnengyuyanxue
超自然现象	chaoziranxianxiang
字母表	zimubiao
自我意識	ziwoyishi
領導力	lingdaoli
逻辑	luoji
数理逻辑	shuliluoji
阇弥尼	dumini
权力分配	quanlifenpei
超人說	chaorenshuo
个体化原理	getihuayuanli
共相問題	gongxiangwenti
家国同构	jiaguotonggou
逻辑或非	luojihuofei
感性	ganxing
具體化謬誤	jutihuamiuwu
显现唯物论	xianxianweiwulun
鱷魚悖論	eyubeilun
基督教的神	jidujiaodeshen
共同知识	gongtongzhishi
日本美學	ribenmeixue
命題論	mingtilun
反权威主义	fanquanweizhuyi
哲學人類學	zhexuerenleixue
认识论	renshilun
開明專制	kaimingzhuanzhi
正義戰爭	zhengyizhanzheng
杨兴顺	yangxingshun
形式语义学	xingshiyuyixue
道德譜系學	daodepuxixue
倫理利己主義	lunlilijizhuyi
非此即彼	feicijibi
兵家	bingjia
可悲點理論	kebeidianlilun
美國例外論	meiguoliwailun
快樂的科學	kuailedekexue
冥想	mingxiang
歷史研究	lishiyanjiu
无宗派	wuzongpai
格蘭迪級數	gelandijishu
阿拉巴马悖论	alabamabeilun
帕隆多悖论	palongduobeilun
方技家	fangjijia
解释篇	jieshipian
行政一體	xingzhengyiti
歐洲中心主義	ouzhouzhongxinzhuyi
泛心论	fanxinlun
過程理論	guochenglilun
倫理學歷史	lunlixuelishi
契约论	qiyuelun
层化	cenghua
大西洋革命	daxiyanggeming
可废止逻辑	kefeizhiluoji
后人类主义	hourenleizhuyi
科学多元主义	kexueduoyuanzhuyi
心物問題	xinwuwenti
基础主义	jichuzhuyi
色诺芬尼	senuofenni
混沌	hundun
隐性知识	yinxingzhishi
山头主义	shantouzhuyi
杰斐逊圣经	jiefeixunshengjing
世界观	shijieguan
化书	huashu
美	mei
本质主义	benzhizhuyi
关系演算	guanxiyansuan
取消唯物主义	quxiaoweiwuzhuyi
蜡块论证	lakuailunzheng
荒诞派戏剧	huangdanpaixiju
本位主义	benweizhuyi
外道	waidao
詮釋社會學	quanshishehuixue
蕴含的幂等性	yunhandemidengxing
内省	neixing
多值逻辑	duozhiluoji
欧拉图	oulatu
反启蒙	fanqimeng
經驗主義美學	jingyanzhuyimeixue
后真相	houzhenxiang
靈感	linggan
建构实在论	jiangoushizailun
