# 泰深输入法专业词库 — 饮食
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
凤尾金鱼	fengweijinyu
凤尾鱼罐头	fengweiyuguantou
凤尾鱼翅	fengweiyuchi
凤庆粑粑卷	fengqingbabajuan
凤戏牡丹	fengximudan
凤梨烩排骨	fenglihuipaigu
凤梨罐头	fengliguantou
凤梨蟹柳	fenglixieliu
凤炖牡丹	fengdunmudan
凤眼秋波	fengyanqiubo
凤穿金衣	fengchuanjinyi
凤翔腊驴肉	fengxianglalvrou
凤翔豆花	fengxiangdouhua
凤翔豆花泡馍	fengxiangdouhuapaomo
凤阳酿豆腐	fengyangniangdoufu
凯司令蛋糕	kaisilingdangao
凯撒沙律	kaisashalv
凯撒沙拉	kaisashala
出口马蹄	chukoumati
刀切糍	daoqieci
刀切酥	daoqiesu
刀削油泼面	daoxiaoyoupomian
刀拔面	daobamian
刀狼	daolang
刀鱼羹卤子面	daoyugengluzimian
利口葡萄酒	likouputaojiu
利嘉	lijia
制川乌	zhichuanwu
刷把头	shuabatou
刺云实胶	ciyunshijiao
刺猬包	ciweibao
刺玫瑰	cimeigui
刺菱角	cilingjiao
刺龙牙	cilongya
剁椒大白菜	duojiaodabaicai
剁椒大鱼头	duojiaodayutou
剁椒小芋头	duojiaoxiaoyutou
剁椒胖鱼头	duojiaopangyutou
剁椒蒸芋头	duojiaozhengyutou
剁椒蒸芋头仔	duojiaozhengyutouzai
前菜七品	qiancaiqipin
前菜五品	qiancaiwupin
前菜四品	qiancaisipin
剔尖儿	tijianer
力存	licun
功德林蔬食处	gongdelinshushichu
加去	jiaqu
加味二妙散	jiaweiermiaosan
加州庄园	jiazhouzhuangyuan
加蟹小笼包	jiaxiexiaolongbao
努力餐	nulican
劲爆鸡米花	jinbaojimihua
劲脆鸡腿堡	jincuijituibao
劲霸橙汁	jinbachengzhi
劲霸汤皇	jinbatanghuang
劲霸牛肉汁	jinbaniurouzhi
劲霸辣椒汁	jinbalajiaozhi
劲霸青芥辣	jinbaqingjiela
劲霸鲍鱼汁	jinbabaoyuzhi
劲霸鸡汁	jinbajizhi
勾魂面	gouhunmian
