# 泰深输入法专业词库 — 地名
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
上河西	shanghexi
上泉	shangquan
上泉村	shangquancun
上洋	shangyang
上洋村	shangyangcun
上洋桥	shangyangqiao
上洋路	shangyanglu
上洛阳	shangluoyang
上洞	shangdong
上洞街乡	shangdongjiexiang
上洲	shangzhou
上浦	shangpu
上浦村	shangpucun
上浦路	shangpulu
上浮桥	shangfuqiao
上海东路	shanghaidonglu
上海中学	shanghaizhongxue
上海儿童医学中心	shanghaiertongyixuezhongxin
上海农产品市场	shanghainongchanpinshichang
上海农学院	shanghainongxueyuan
上海华联	shanghaihualian
上海南汇区周浦镇	shanghainanhuiquzhoupuzhen
上海南汇区惠南镇	shanghainanhuiquhuinanzhen
上海南站	shanghainanzhan
上海口	shanghaikou
