# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
钻穿效应	zuanchuanxiaoying
焦比	jiaobi
哈密頓原理	hamidunyuanli
费米能	feimineng
恆星磁場	hengxingcichang
散射	sanshe
气体分压	qitifenya
不透明度	butoumingdu
饮水鸟	yinshuiniao
克劳修斯定理	kelaoxiusidingli
吉米	jimi
湮灭	yanmie
裸奇異點	luoqiyidian
普朗克尺度	pulangkechidu
达西定律	daxidinglv
密度	midu
态函数	taihanshu
熄火	xihuo
不變量	bubianliang
百萬秒	baiwanmiao
物理冶金学	wuliyejinxue
接觸角	jiechujiao
行星際物質	xingxingjiwuzhi
塞曼效应	saimanxiaoying
巴比涅原理	babinieyuanli
單軸晶體	danzhoujingti
传播子	chuanbozi
增益	zengyi
无定形体	wudingxingti
电致变色	dianzhibianse
失真	shizhen
數碼物理學	shumawulixue
湧現論	yongxianlun
副本方法	fubenfangfa
斯隆奖	silongjiang
庞加莱奖	pangjialaijiang
玻尔兹曼方程	boerzimanfangcheng
热力学循环	relixuexunhuan
微觀	weiguan
埃弗谢德效应	aifuxiedexiaoying
强关联	qiangguanlian
强热发光	qiangrefaguang
排水法	paishuifa
準粒子	zhunlizi
電磁力	diancili
么正性	mezhengxing
史瓦西準則	shiwaxizhunze
超冷原子	chaolengyuanzi
紫外定點	ziwaidingdian
電學	dianxue
恆星脈動	hengxingmaidong
拉莫頻率	lamopinlv
生殖腺指數	shengzhixianzhishu
電磁波譜	diancibopu
核宇宙編年學	heyuzhoubiannianxue
瓊斯運算	qiongsiyunsuan
洛伦茨规范	luolunciguifan
威克轉動	weikezhuandong
表面电子结构	biaomiandianzijiegou
拓扑序	tuopuxu
频率选择面	pinlvxuanzemian
光束發散度	guangshufasandu
磁	ci
背景獨立	beijingduli
電子伏特	dianzifute
相干性	xiangganxing
量子数	liangzishu
布拉菲晶格	bulafeijingge
电磁离合器	dianciliheqi
变速圆周运动	biansuyuanzhouyundong
磁層鞘	cicengqiao
超軸子	chaozhouzi
電子電離	dianzidianli
轉動平衡	zhuandongpingheng
共振价键理论	gongzhenjiajianlilun
電磁輻射	diancifushe
感覺閾限	ganjueyuxian
反	fan
双体模型	shuangtimoxing
奇異夸克團	qiyikuaketuan
振動學	zhendongxue
軸流式壓縮機	zhouliushiyasuoji
潮汐圓化	chaoxiyuanhua
过热	guore
费米问题	feimiwenti
反電中微子	fandianzhongweizi
增頻磁鐵	zengpincitie
磷光	linguang
保守系統	baoshouxitong
巧合	qiaohe
廣義動量	guangyidongliang
外绝缘	waijueyuan
燃点	randian
球多極矩	qiuduojiju
拜耳莱定律	baierlaidinglv
磁镜	cijing
辐射出射度	fushechushedu
相对论	xiangduilun
自我組織	ziwozuzhi
流体力学期刊	liutilixueqikan
基本粒子	jibenlizi
体积分数	tijifenshu
欧洲物理快报	ouzhouwulikuaibao
尺	chi
超对称	chaoduicheng
凯伊效应	kaiyixiaoying
中子發射	zhongzifashe
矩量法	juliangfa
磁共振	cigongzhen
韩国物理学会	hanguowulixuehui
汤川势	tangchuanshi
佩里頓	peilidun
懸浮偶極	xuanfuouji
比能	bineng
超晶格	chaojingge
中性流	zhongxingliu
光学工程	guangxuegongcheng
暖色濾鏡	nuanselvjing
几何不稳定性	jihebuwendingxing
斜面	xiemian
三点弯曲试验	sandianwanqushiyan
河外背景光	hewaibeijingguang
契忍可夫輻射	qirenkefufushe
英热单位	yingredanwei
混合暗物質	hunheanwuzhi
力矩	liju
核時標	heshibiao
全外反射	quanwaifanshe
势阱	shijing
恒星物理学	hengxingwulixue
量子群	liangziqun
天體力學	tiantilixue
动能	dongneng
热胀冷缩	rezhanglengsuo
粒子探测器	lizitanceqi
感官分析	ganguanfenxi
表面电荷	biaomiandianhe
吸附粒子	xifulizi
湍流	tuanliu
收敛半径	shoulianbanjing
光澤	guangze
分形宇宙学	fenxingyuzhouxue
角量子数	jiaoliangzishu
作用量	zuoyongliang
维格纳效应	weigenaxiaoying
量子轨迹理论	liangziguijililun
朗道阻尼	langdaozuni
射束	sheshu
永动机	yongdongji
南非標準時間	nanfeibiaozhunshijian
热动说	redongshuo
共沸	gongfei
冲量	chongliang
卡皮察擺	kapichabai
参考系	cankaoxi
真空电容率	zhenkongdianronglv
楊李定理	yanglidingli
尤拉臨界負載	youlalinjiefuzai
热效率	rexiaolv
四維矢量	siweishiliang
老花	laohua
引力光子	yinliguangzi
電荷共軛對稱	dianhegongeduicheng
蛋白色	danbaise
化学势	huaxueshi
升华	shenghua
角分辨率	jiaofenbianlv
自由度	ziyoudu
蒸氣品質	zhengqipinzhi
光谱	guangpu
斑點	bandian
熱輻射	refushe
安培小時	anpeixiaoshi
平衡環架	pinghenghuanjia
乳浊液	ruzhuoye
無焦系統	wujiaoxitong
邻近效应	linjinxiaoying
农历十二月	nonglishieryue
大统一理论	datongyililun
開放系統	kaifangxitong
过冷	guoleng
连通器原理	liantongqiyuanli
辐射度量学	fusheduliangxue
對流	duiliu
国际制冷学会	guojizhilengxuehui
黑洞	heidong
相对论的意义	xiangduilundeyiyi
交点年	jiaodiannian
時間戳	shijianchuo
靜止參考系	jingzhicankaoxi
